CD_GEOCMU, year,number,rate
2908408,2008,1,1.58
2908507,2007,22,75.91
2908705,2000,1,5.54
2908705,2005,2,11.03
2908705,2006,8,44.06
2908705,2007,23,126.56
2908804,2007,2,52.16
2908804,2008,3,76.45
2908804,2009,2,51.59
2909208,2007,1,4.58
2909208,2008,2,10.79
2909208,2010,1,5.86
2909307,2007,4,12.2
2909307,2008,3,9.15
2909307,2009,2,6.07
2909406,2007,1,7.07
2909505,2006,12,230.28
2909505,2007,110,2096.84
2909604,2007,2,9.55
2909703,2007,31,244.83
2909802,2006,8,13.71
2909802,2007,289,488.6
2910057,2006,37,66.38
2910057,2007,124,216.54
2910107,2007,3,27.22
2910107,2008,1,8.68
2910107,2010,2,17.61
2910206,2007,108,2989.21
2910305,2006,3,38.12
2910305,2007,7,88.99
2910404,2004,1,2.66
2910404,2007,391,915.16
2910404,2008,23,105.14
2910503,2000,1,2.67
2910503,2003,1,2.47
2910503,2006,2,4.47
2910503,2007,674,1471.07
2910503,2008,182,451.88
2910602,2006,1,3.31
2910602,2007,92,300.24
2910727,2006,6,6.37
2910727,2007,52,54.38
2910909,2006,1,20.37
2910909,2007,4,82.02
2910909,2008,4,68.92
2910909,2009,2,34.09
2911006,2007,1,10.37
2911006,2008,3,28.6
2911006,2009,3,28.95
2911006,2010,2,18.76
2911204,2006,34,122.85
2911204,2007,468,1686.49
2911204,2008,60,191.02
2911253,2008,1,22.04
2911402,2009,1,7.05
2911501,2001,1,9.4
2911501,2007,3,25.31
2911501,2008,6,91.17
2911501,2009,7,113.36
2911501,2010,4,47.86
2911600,2006,3,15.89
2911600,2007,85,450.9
2911709,2006,4,5.24
2911709,2007,38,49.4
2911709,2008,5,6.31
2911709,2009,5,6.26
2911709,2010,7,8.88
2911808,2006,101,429.95
2911808,2007,287,1228.33
2911808,2008,20,86.56
2911857,2006,1,6.95
2911857,2007,3,20.59
2911857,2008,1,6.86
2911907,2006,1,3.3
2911907,2007,6,19.63
2912004,2006,2,14.8
2912004,2007,4,29.37
2912103,2004,1,3.55
2912103,2006,1,3.62
2912103,2007,6,21.88
2912103,2008,6,24.01
2912103,2009,5,20.35
2912103,2010,1,4.12
2912202,2000,1,6.92
2912202,2005,1,5.89
2912202,2006,16,90.94
2912202,2007,43,236.6
2912301,2008,1,6.12
2912707,2000,1,4.51
2912707,2004,2,9.85
2912707,2007,5,27.37
2912707,2008,4,16.63
2912707,2009,21,86.69
2912707,2010,21,92.93
2912806,2009,4,50.69
2912905,2007,135,509.95
2912905,2009,15,61.1
2912905,2010,58,306.18
2913408,2009,2,13.35
2913408,2010,1,6.58
2913457,2007,5,29.63
2913457,2008,1,7.44
2913457,2009,9,67.84
2913457,2010,2,14.99
2913507,2007,3,11.13
2913507,2008,4,13.76
2913507,2009,1,3.4
2913705,2006,63,194.4
2913705,2007,180,548.46
2913903,2006,57,134.37
2913903,2007,169,400.02
2914000,2006,3,4.91
2914000,2007,11,18.04
2914000,2008,13,21.16
2914000,2009,7,11.28
2914307,2006,2,11.23
2914307,2007,15,84
2914406,2007,2,10.28
2914604,2007,21,33.35
2914604,2008,12,18.37
2914604,2009,7,10.6
2914604,2010,14,21.15
2914653,2007,181,605.35
2914703,2007,11,17.36
2914703,2009,1,1.63
2914802,2000,1,0.51
2914802,2005,2,0.98
2914802,2006,7,3.41
2914802,2007,23,11.15
2914802,2008,12,5.65
2914802,2009,27,12.64
2914802,2010,9,4.4
2914901,2007,5,28.01
2914901,2008,2,7.59
2914901,2009,1,3.68
2915007,2007,1,7.27
2915007,2008,1,6.84
2915007,2009,1,6.82
2915007,2010,1,6.7
2915106,2006,10,68.1
2915106,2007,84,571.51
2915106,2009,2,14.12
2915106,2010,3,22.99
2915205,2006,11,72.47
2915205,2007,89,598.16
2915304,2004,1,13.04
2915304,2007,6,79
2915403,2006,2,25.99
2915403,2007,20,264.2
2915403,2008,7,89.81
2915403,2010,1,13.68
2915502,2007,1,4.89
2915502,2008,5,24.16
2915502,2009,11,53.67
2915502,2010,13,61.67
2915601,2006,1,1.56
2915601,2007,12,18.75
2915601,2008,2,2.96
2915601,2009,2,2.95
2915601,2010,3,4.76
2915700,2006,2,25.03
2915700,2007,54,680.7
2915908,2007,8,113.36
2916005,2008,7,33.04
2916005,2010,1,4.95
2916104,2006,1,4.58
2916104,2007,48,215.84
2916203,2006,2,14.4
2916203,2007,12,86.99
2916203,2008,10,90.8
2916203,2009,9,84.63
2916203,2010,1,9.1
2916302,2006,1,8.96
2916302,2007,10,89.54
2916302,2008,5,41.91
2916401,2006,1,1.63
2916401,2007,453,734.16
2916500,2007,66,224.44
2916609,2006,1,9.7
2916609,2007,9,87.37
2916609,2008,17,163.7
2916609,2009,7,67.4
2916609,2010,3,29.39
2916856,2006,53,361.33
2916856,2007,67,448.07
2917003,2005,1,2.76
2917003,2006,10,27.48
2917003,2007,61,167.07
2917003,2008,8,21.69
2917102,2001,1,5.09
2917102,2006,1,5.19
2917102,2007,45,234.46
2917102,2008,5,23.99
2917102,2009,10,47.78
2917201,2007,222,1235.6
2917300,2006,77,287.52
2917300,2007,126,463.8
2917334,2008,1,8.37
2917409,2009,4,27.02
2917409,2010,7,51.28
2917607,2003,1,2.05
2917607,2006,5,9.62
2917607,2007,126,238.8
2917607,2008,2,4.16
2917706,2008,2,6.62
2917805,2002,1,7.5
2917805,2006,102,762.56
2917805,2007,121,905.28
2918001,2006,53,35.57
2918001,2007,701,469.66
2918001,2008,10,6.65
2918308,2006,15,70.68
2918308,2007,50,235.38
2918357,2009,1,4.55
2918407,2007,6,2.81
2918407,2008,1,0.42
2918407,2009,20,8.2
2918407,2010,1,0.51
2918456,2006,1,10.32
2918456,2007,7,75.3
2918456,2008,4,37.39
2918456,2009,1,9.51
2918456,2010,9,87.46
2918555,2006,8,116.28
2918555,2007,60,885.35
2918555,2008,35,501.43
2918555,2009,41,592.14
2918555,2010,18,278.04
2918605,2007,3,26.14
2918605,2008,1,11.97
2918704,2007,44,1361.39
2918753,2007,6,42.01
2918803,2006,30,146
2918803,2007,54,261.07
2918803,2008,2,9.11
2918803,2009,4,18.04
2918902,2007,3,97.82
2919009,2007,2,72.41
2919009,2008,2,44.83
2919058,2007,3,31.64
2919058,2008,7,78.45
2919157,2008,1,3.78
2919207,2001,1,0.84
2919207,2005,1,0.71
2919207,2006,15,10.26
2919207,2007,278,184.01
2919207,2008,49,32.02
2919306,2001,1,11.05
2919306,2007,19,189.28
2919306,2008,11,109.91
2919306,2009,3,29.68
2919306,2010,1,9.65
2919405,2007,7,64.37
2919504,2007,30,72.9
2919504,2009,2,4.49
2919553,2000,1,#VALOR!
2919553,2007,11,47.2
2919553,2008,9,18.38
2919553,2009,42,80.69
2919553,2010,20,33.28
2919603,2006,1,8.19
2919603,2007,4,32.48
2919702,2007,2,13.29
2919926,2006,3,21.21
2919926,2007,3,20.75
2919926,2008,4,24.46
2919926,2009,3,17.87
2919926,2010,1,5.76
2919959,2007,1,6.07
2919959,2008,2,23.72
2920007,2008,3,34.43
2920007,2009,1,11.3
2920106,2006,2,10.22
2920106,2007,4,20.5
2920502,2007,2,5.63
2920601,2006,7,16.9
2920601,2007,23,55.3
2920700,2005,1,5.29
2920700,2006,1,5.26
2920700,2007,31,162.24
2920700,2008,2,11.5
2920908,2006,2,15.3
2920908,2007,4,31.68
2920908,2008,9,54.36
2920908,2009,3,18.08
2920908,2010,1,6.83
2921005,2007,4,11.67
2921054,2010,2,17.95
2921104,2007,3,15.24
2921104,2009,1,4.4
2921104,2010,5,23.19
2921203,2008,1,3.59
2921708,2005,1,2.76
2921708,2006,9,24.65
2921807,2006,13,105.09
2921807,2007,126,1020.99
2921807,2008,19,130.96
2921906,2005,1,6.34
2921906,2006,2,12.38
2921906,2007,29,175.53
2922003,2004,1,3.1
2922003,2006,2,5.59
2922003,2007,6,16.25
2922003,2009,2,5.63
2922003,2010,5,13.88
2922052,2006,4,24.79
2922052,2007,8,49.12
2922052,2008,5,35.7
2922052,2009,4,28.82
2922052,2010,2,16.33
2922102,2005,1,6.55
2922102,2006,4,28.18
2922102,2007,87,661.6
2922102,2008,1,4.02
2922201,2006,2,26.92
2922201,2007,69,920.61
2922201,2008,5,69.31
2922300,2006,23,69.85
2922300,2007,148,441.11
2922607,2008,6,45.83
2922656,2007,1,7.19
2922656,2010,1,8.08
2922706,2007,122,731.85
2922706,2008,7,35.24
2922755,2006,1,21.28
2922755,2007,8,184.46
2922854,2007,2,27.75
2922904,2006,2,8.26
2922904,2007,16,66.17
2922904,2008,9,33.75
2922904,2009,2,7.44
2922904,2010,6,24.86
2923001,2002,1,2.99
2923001,2007,1,2.66
2923100,2001,1,4.14
2923100,2008,6,24.47
2923100,2009,21,85.52
2923100,2010,31,124.28
2923308,2007,17,214.35
2923407,2010,1,4.81
2923506,2007,7,89.35
2923506,2008,1,11.96
2923605,2006,1,5.36
2923605,2007,2,10.41
2923803,2007,9,33.24
2923803,2008,4,13.58
2923803,2009,18,60.55
2923803,2010,16,57.6
2923902,2006,3,27.94
2923902,2007,51,490.57
2923902,2008,20,161.06
2923902,2009,23,186.28
2923902,2010,40,368.6
2924009,2010,1,0.92
2924058,2009,1,6.76
2924058,2010,2,14.54
2924108,2007,73,1085.02
2924306,2006,1,5.14
2924306,2007,2,10.23
2924603,2006,1,5.4
2924603,2007,102,561.36
2924652,2010,1,9.67
2924678,2007,4,52.64
2924702,2006,1,4.91
2924702,2007,74,352.95
2924702,2008,58,426.56
2924702,2009,56,420.36
2924702,2010,52,406.79
2924801,2007,6,40.87
2924900,2009,9,101.36
2925006,2007,1,4.96
2925006,2010,1,4.08
2925105,2005,1,2.07
2925105,2006,102,208.47
2925105,2007,568,1144.84
2925204,2007,78,265.98
2925303,2003,1,0.87
2925303,2006,13,9.23
2925303,2007,58,39.33
2925303,2008,22,18.26
2925303,2009,2,1.63
2925303,2010,1,0.79
2925402,2006,2,11.31
2925402,2007,183,1009.38
2925402,2008,214,2114
2925402,2009,12,124.26
2925402,2010,1,10.19
2925758,2006,1,4.99
2925758,2007,123,610.76
2925956,2007,3,13.25
2926103,2007,1,9.48
2926202,2007,3,12.87
2926202,2008,1,4.29
2926202,2009,1,4.27
2926301,2005,1,3.59
2926301,2009,1,2.97
2926301,2010,2,6.03
2926509,2006,24,173.06
2926509,2007,73,526.73
2926608,2007,2,4.04
2926608,2008,1,2.04
2926608,2009,9,18.27
2926608,2010,8,16.84
2926707,2006,1,7.31
2926707,2007,17,124.41
2926806,2010,2,13.5
2926905,2009,5,43.04
2926905,2010,8,67.13
2927002,2006,69,184.96
2927002,2007,70,184.64
2927309,2007,1,8.82
2927408,2002,1,0.04
2927408,2003,1,0.04
2927408,2005,1,0.04
2927408,2006,5,0.18
2927408,2007,803,29.15
2927408,2008,21,0.71
2927408,2009,12,0.4
2927408,2010,18,0.67
2927507,2009,14,68.42
2927507,2010,35,183.59
2927705,2007,12,31.09
2927705,2008,9,34.55
2927804,2007,10,136.28
2927804,2009,1,15.52
2928000,2008,2,5.71
2928000,2009,1,2.82
2928000,2010,1,2.96
2928109,2007,201,489.86
2928406,2009,1,3.63
2928604,2006,51,82.85
2928604,2007,460,741.67
2928604,2008,94,162.98
2928604,2009,1,1.72
2928703,2005,1,1.17
2928703,2006,8,9.2
2928703,2007,309,349.45
2928703,2008,134,152.66
2928901,2008,5,18.7
2928901,2010,10,36.15
2929008,2006,6,40.49
2929008,2007,101,673.74
2929057,2007,1,8.6
2929057,2009,3,22.22
2929107,2006,32,157.49
2929107,2007,331,1628.22
2929206,2007,186,592.22
2929255,2006,1,5.32
2929255,2009,1,5.23
2929354,2007,9,222.66
2929354,2008,14,223.29
2929354,2009,11,175.27
2929354,2010,9,157.48
2929404,2007,74,696.67
2929404,2008,2,18.83
2929503,2007,189,443.47
2929503,2008,5,12.01
2929602,2006,9,51.78
2929602,2007,19,108.5
2929602,2008,109,639.63
2929701,2007,1,4.93
2929701,2008,3,15.98
2929701,2009,1,5.29
2929701,2010,12,63.28
2929750,2006,1,8.47
2929750,2007,7,58.14
2929750,2010,1,8.93
2929800,2006,1,8.65
2929800,2007,44,380.13
2929909,2007,6,14.73
2930105,2007,1,1.84
2930154,2009,1,3.14
2930204,2009,1,2.58
2930709,2007,298,265.29
2931004,2006,11,51.59
2931004,2007,89,413.82
2931053,2010,1,6.2
2931301,2005,1,5.22
2931301,2007,18,90.4
2931301,2008,4,22.45
2931350,2007,6,4.76
2931350,2008,2,1.61
2931350,2009,2,1.59
2931350,2010,6,4.34
2931400,2009,1,11.83
2931509,2009,1,4.66
2931509,2010,1,4.66
2931608,2007,80,630.72
2931806,2007,1,4.82
2931905,2006,3,5.54
2931905,2007,21,38.45
2932002,2008,1,3.96
2932309,2000,1,4.59
2932309,2010,6,24
2932408,2006,1,7.24
2932408,2009,4,28.17
2932408,2010,5,36.7
2932507,2003,1,2.98
2932507,2006,1,2.72
2932507,2007,9,23.92
2932507,2008,16,63.27
2932507,2009,15,60.84
2932507,2010,22,91.25
2932705,2006,1,7.93
2932705,2007,31,270.2
2932705,2008,32,139.23
2932705,2009,14,60.25
2932705,2010,7,35.29
2932804,2006,6,35.78
2932903,2005,1,1.19
2932903,2006,2,2.34
2932903,2007,214,247.46
2932903,2008,181,204.42
2933000,2008,1,4.45
2933000,2009,1,4.38
2933059,2004,1,7.29
2933059,2006,2,14.52
2933059,2007,3,21.76
2933059,2009,1,6.59
2933109,2010,4,46.18
2933174,2006,13,149.84
2933174,2007,201,2316.74
2933257,2009,1,13.62
2933307,2004,2,0.72
2933307,2006,15,5.17
2933307,2007,787,267.5
2933307,2008,1,0.32
2933406,2006,2,20.36
2933406,2007,17,171.11
2933505,2001,1,3.99
2933505,2005,2,7.02
2933505,2006,5,17.05
2933505,2007,63,209.19
2933604,2008,2,4.23
2933604,2009,1,2.11
